# DCl spectrum
# xmin= 1900 cm^-1
# xmax= 2250 cm^-1

Wavenumber, Absorbance
2053.88, 0.0068
2054, 0.0072
2054.12, 0.0072
2054.25, 0.0069
2054.38, 0.0075
2054.5, 0.009
2054.62, 0.0116
2054.75, 0.0174
2054.88, 0.0294
2055, 0.0457
2055.12, 0.0577
2055.25, 0.0566
2055.38, 0.0433
2055.5, 0.0272
2055.62, 0.0162
2055.75, 0.0112
2055.88, 0.0094
2056, 0.0087
2056.12, 0.0088
2056.25, 0.0095
2056.38, 0.0093
2056.5, 0.0082
2056.62, 0.0075
2056.75, 0.0086
2056.88, 0.0101
2057, 0.0106
2057.12, 0.0105
2057.25, 0.0116
2057.38, 0.0141
2057.5, 0.0183
2057.62, 0.0301
2057.75, 0.0589
2057.88, 0.1058
2058, 0.1496
2058.12, 0.1562
2058.25, 0.1189
2058.38, 0.0694
2058.5, 0.0353
2058.62, 0.0204
2058.75, 0.0152
2058.88, 0.0118
2059, 0.0095
2059.12, 0.009
2059.25, 0.0089
2059.38, 0.0084
2059.5, 0.0082
2059.62, 0.0083
2059.75, 0.0076
2059.88, 0.0065
2060, 0.0067
2060.12, 0.0083
2060.25, 0.0092
2060.38, 0.0084
2060.5, 0.0076
