# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2785.75, 0.0225
2785.88, 0.023
2786, 0.0236
2786.12, 0.0237
2786.25, 0.0237
2786.38, 0.0238
2786.5, 0.024
2786.62, 0.0239
2786.75, 0.0235
2786.88, 0.023
2787, 0.0225
2787.12, 0.0226
2787.25, 0.0234
2787.38, 0.024
2787.5, 0.0239
2787.62, 0.0233
2787.75, 0.023
2787.88, 0.0233
2788, 0.0236
2788.12, 0.0235
2788.25, 0.0232
2788.38, 0.0232
2788.5, 0.0235
2788.62, 0.0239
2788.75, 0.0241
2788.88, 0.0236
2789, 0.0229
2789.12, 0.0227
2789.25, 0.0234
2789.38, 0.0242
2789.5, 0.024
2789.62, 0.0231
2789.75, 0.0226
2789.88, 0.023
2790, 0.0236
2790.12, 0.0239
2790.25, 0.0237
2790.38, 0.0236
2790.5, 0.0238
2790.62, 0.0242
2790.75, 0.0241
2790.88, 0.0233
2791, 0.0224
2791.12, 0.0222
2791.25, 0.0231
2791.38, 0.024
2791.5, 0.0242
2791.62, 0.0236
2791.75, 0.0229
2791.88, 0.0225
2792, 0.0221
2792.12, 0.0221
2792.25, 0.0225
2792.38, 0.0229
2792.5, 0.0229
2792.62, 0.0227
2792.75, 0.0229
2792.88, 0.0232
2793, 0.023
2793.12, 0.0226
2793.25, 0.0227
2793.38, 0.0233
2793.5, 0.0237
2793.62, 0.0236
2793.75, 0.0234
2793.88, 0.0234
2794, 0.0235
2794.12, 0.0237
2794.25, 0.0238
2794.38, 0.0235
2794.5, 0.0227
2794.62, 0.0223
2794.75, 0.0227
2794.88, 0.0233
2795, 0.0232
2795.12, 0.0228
2795.25, 0.0232
2795.38, 0.024
2795.5, 0.0245
2795.62, 0.0245
2795.75, 0.0244
2795.88, 0.0243
2796, 0.0242
2796.12, 0.0243
2796.25, 0.025
2796.38, 0.0258
2796.5, 0.0273
2796.62, 0.0325
2796.75, 0.0431
2796.88, 0.0551
2797, 0.0605
2797.12, 0.0555
2797.25, 0.0443
2797.38, 0.034
2797.5, 0.0278
2797.62, 0.0254
2797.75, 0.0249
2797.88, 0.0248
2798, 0.0247
2798.12, 0.0254
2798.25, 0.027
2798.38, 0.0299
2798.5, 0.0369
2798.62, 0.0547
2798.75, 0.0859
2798.88, 0.1194
2799, 0.1317
2799.12, 0.112
2799.25, 0.0768
2799.38, 0.0482
2799.5, 0.0338
2799.62, 0.0285
2799.75, 0.026
2799.88, 0.0246
2800, 0.0243
2800.12, 0.0245
2800.25, 0.0244
2800.38, 0.0244
2800.5, 0.0248
2800.62, 0.0246
2800.75, 0.0239
2800.88, 0.0234
2801, 0.0235
2801.12, 0.0237
2801.25, 0.0234
2801.38, 0.0232
2801.5, 0.0234
2801.62, 0.0233
2801.75, 0.0229
2801.88, 0.0226
2802, 0.0227
2802.12, 0.0229
2802.25, 0.0233
2802.38, 0.0237
2802.5, 0.0241
2802.62, 0.0239
2802.75, 0.0237
2802.88, 0.0243
2803, 0.0251
2803.12, 0.025
2803.25, 0.024
2803.38, 0.0232
2803.5, 0.0233
2803.62, 0.0237
2803.75, 0.0236
2803.88, 0.023
2804, 0.0227
2804.12, 0.0226
2804.25, 0.0227
2804.38, 0.0228
2804.5, 0.023
2804.62, 0.0231
2804.75, 0.0232
2804.88, 0.0233
2805, 0.023
2805.12, 0.0225
2805.25, 0.0224
2805.38, 0.0229
2805.5, 0.0235
2805.62, 0.0238
2805.75, 0.0237
2805.88, 0.0237
2806, 0.0236
2806.12, 0.0234
2806.25, 0.0231
2806.38, 0.0232
2806.5, 0.0237
2806.62, 0.024
2806.75, 0.0239
2806.88, 0.0239
2807, 0.0241
2807.12, 0.0241
2807.25, 0.0239
2807.38, 0.0238
2807.5, 0.0239
2807.62, 0.0242
2807.75, 0.0246
2807.88, 0.025
2808, 0.025
2808.12, 0.0244
2808.25, 0.0239
2808.38, 0.0237
2808.5, 0.0238
2808.62, 0.0235
2808.75, 0.0227
2808.88, 0.0222
2809, 0.0222
2809.12, 0.0224
2809.25, 0.0225
2809.38, 0.0225
2809.5, 0.0226
2809.62, 0.0229
2809.75, 0.0232
2809.88, 0.0234
2810, 0.0229
2810.12, 0.022
2810.25, 0.0218
2810.38, 0.0229
2810.5, 0.0244
2810.62, 0.025
